id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
16679342,3.688879454113936,House,Private room,"{Internet,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets live on this property"",Dog(s),Heating,""Smoke detector"",""Fire extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1.5,Real Bed,strict,True,NYC,"Cozy room in my big private house in Brooklyn. The room is smaller but guests have access to all of the common areas in the house. Its is great if your visiting the city and want some privacy and peacefulness in your New York travels. Check in time is flexible please contact me if you are interested in long term rental Guest have acces to the room and all the common areas including the back yard We can chat sometimes and i will tell you more about the neighborhood other than that you are on your own Jamaican / West Indian neighborhood amazing food, cool people, irie (URL HIDDEN) entire street is private houses. Train stop: Utica Avenue & Sutter Avenue - 8minute walk or 3 minute bus ride, the bus that drops you from the train station runs very often so it really is a quick ride to the manhattan. the bus stop is one block away.",2015-10-10,t,t,100%,2014-08-27,f,2017-09-22,40.65627775986394,-73.9226454606154,THE LIBRARY LOUNGE,East Flatbush,57,89.0,https://a0.muscache.com/im/pictures/58fcc67e-4335-4ac5-afca-61a3a040fbc7.jpg?aki_policy=small,11212.0,1.0,1.0
3563677,4.90527477843843,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1.0,Real Bed,moderate,True,LA,"My place is close to Broken Spanish, LA Live, Staples Center, Microsoft theater, Grammy Museum, Mortons, Fig & 7th, Macy's Plaza, The Bloc, Whole foods, Ralph, Metro Station, Flower District, Fashion District, Broadway Theatre District, The Broad, Walt Disney Concert Hall, AMC Theatres. You’ll love my place because of the neighborhood, the entertainment district, the view, the pool and spa . My place is good for couples, solo adventurers, business travelers, and families (with kids). Unique, clean and very modern loft overlooking LA Live Ritz tower.  TV is equipped with netflix and amazon prime All access to common area business lounge, pool, spa and gym I'm always available should you need me, text or call. Clean, safe and next to LA Live and Convention Center Uber and Metro are readily available. No mention of AIR BNB as this will jeopardize your stay.  I will be your point of contact, not building management",2016-07-23,t,t,100%,2014-11-28,t,2017-04-25,34.047002512589714,-118.2673519357346,"LOFT WITH VIEW, Convention center!",Downtown,73,99.0,https://a0.muscache.com/im/pictures/d1a617c2-50a2-488d-b535-00ea6cee54ac.jpg?aki_policy=small,90015,1.0,1.0
17615783,4.007333185232471,House,Private room,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",2,1.0,Real Bed,moderate,True,LA,"A cozy home on a beautiful tree-lined street centrally located to get anywhere in L.A. in less than 25 minutes...depending on traffic of course. The backyard is a great place to hang or eat at the table under the umbrella... My home is your home :) Private bedroom  Open to someone who is mature and considerate or a couple for short stay.  Double Size Bed/Practically brand new Shared bathroom/But I'm clean & keep it like you see it in the pics ;) No smoking Great neighborhood Includes wireless internet No cable, sorry :/  But recently got ""Apple TV"" :) Hardwood floors Ample parking Peaceful backyard with table, chairs and umbrella. Central Air The bus is 1 street light away. (5 min. gets you to Subway which goes from N. Hollywood to downtown) Valley College is 1 mile away. 2 minutes from 101 & 405 freeway 2 minutes from Ventura Blvd. shopping, mall and restaurants 15 minutes to Hollywood 22 minutes to Santa Monica Beach w/out traffic ;) Short term leases are welcome! Please let me know ",2014-10-20,t,t,,2012-07-12,f,2015-03-14,34.17536014179967,-118.4309043159636,Private Rm. 1Blk. From Sherman Oaks,Valley Glen,2,100.0,https://a0.muscache.com/im/pictures/14384442/48d23f7d_original.jpg?aki_policy=small,91401,1.0,1.0
2479317,6.956545443151567,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49""}",4,1.0,Real Bed,moderate,True,DC,"Our place is a modern, spacious apartment on the upper level of a walk-up in the historic Dupont Circle neighborhood. Located on a quiet, but hip street with local bars and restaurants. Exactly 1 mile to the White House! Plus just a few blocks to the Dupont metro station and 14th street/U Street restaurants and bars. Also walking distance to Georgetown, Logan Circle, and Adams Morgan areas. One bedroom, one bathroom. One queen bed in the bedroom, along with a flat screen TV and plenty of space for your luggage.  An additional queen air mattress is available for use in the living room  (Insta-Bed Raised Air Mattress with Never Flat Pump - Queen). We have a memory foam mattress pad, extra sheets, and pillows available for use if this bed is needed. Plenty of room in either the bedroom or living room for the air mattress. I will make my self available to give you a set of keys upon your arrival. You can leave the keys in the apartment when you check out.",,t,f,,2015-05-19,f,,38.91127529462862,-77.03727241100898,Dupont 1 bedroom - 1 mile from the White House!,Dupont Circle,0,,https://a0.muscache.com/im/pictures/a24c135a-0379-4ed8-a37a-2eadd7acc164.jpg?aki_policy=small,20009,1.0,2.0
14122244,5.003946305945459,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Outlet covers"",Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Hot water kettle""}",6,1.0,Real Bed,strict,True,NYC,"My place is close to JFK Airport, Green Acres Commons, Supermarkets, Restaurants, Bank of America, Chase. You’ll love my place because of the comfy beds, the kitchen, the coziness, and the light. My place is good for couples, solo adventurers, business travelers, families (with kids). This home is a great place to just relax! The area is very quiet and public transportation is within walking distance.   The home is spacious and bright with beautiful hardwood floors, updated appliances, and lovely decor. Relax in the living room with a flat screen TV with cable, or enjoy a meal at home with a kitchen perfect for cooking and a large dining table. For our Business Travelers - we have a business area equipped with a desk lamp, laptop desk and a all in one printer.   We also have a safe installed for our guest to keep their valuables -  There are 3 cozy bedrooms, each with a comfortable queen bed. The bathroom is beautifully updated with modern accents and a tub shower. The location is grea",2017-03-25,t,t,100%,2017-01-10,f,2017-09-24,40.69205727585964,-73.74546375359064,JFK LUXURIOUS APARTMENT,Jamaica,14,100.0,https://a0.muscache.com/im/pictures/095186d9-18c3-4532-b523-0b617da11776.jpg?aki_policy=small,11411.0,3.0,3.0
19407360,4.553876891600541,Apartment,Entire home/apt,"{TV,""Wireless Internet"",Pool,Kitchen,""Elevator in building"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,flexible,True,LA,"Retro, Melrose Place-esque studio apartment steps away from Sunset Blvd + close to all the action in West Hollywood and Hollywood.  2-minute walk to 8000 Sunset Plaza (Starbucks, Crunch Gym, Trader Joes, restaurants, smoothies..).  Building is secure with amazing neighbors, vibe, and energy. Mediterranean-style building with extremely well taken care of pool. Super comfortable, large studio apartment. Bedroom, stocked bathroom, refrigerator, coffee maker, WiFi, office area, Apple TV .",2016-07-17,t,t,,2013-06-20,f,2016-07-17,34.100686487326065,-118.3642035832992,Retro West Hollywood Studio + Pool!,,1,100.0,https://a0.muscache.com/im/pictures/c67ecdec-acdd-49d6-80e5-bed6fcc70805.jpg?aki_policy=small,,1.0,1.0
14490881,5.003946305945459,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,Breakfast,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",4,1.0,Real Bed,strict,True,NYC,This beautifully renovated fully furnished apartment is close to Queens Blvd. Directly across from Forest Hills Hospital. Ready for you and your company to come right in and enjoy the spacious apartment.,2017-07-03,t,f,100%,2016-05-25,f,2017-09-10,40.73014487002588,-73.85154203859203,Luxurious 2 bedroom Apartment in Rego Park,Forest Hills,4,100.0,https://a0.muscache.com/im/pictures/cb787117-6de3-4ee4-9e2c-93adfc2dde7d.jpg?aki_policy=small,11374,2.0,2.0
851978,5.1929568508902095,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Shampoo}",3,1.0,Real Bed,flexible,True,LA,"This home is filled with love & laughter! Modern, Clean French doors, double door bedroom, flat screen, ps4, movies, Netflix and A/C! Pool/Parking! Fully furnished right in the center of hollywood! 5 minutes walking to Chinese theatre and near most exciting spots all the tourists go! Parking included! You'llBeLivingALosAngelesLifeTheRightWay! :)",2015-12-30,t,t,,2015-09-26,f,2016-08-03,34.05158404571294,-118.24292308604038,Sweet Hollywood Home / 1bd1bth,,4,95.0,,90028,1.0,2.0
4734170,4.653960350157523,Apartment,Private room,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",3,1.0,Real Bed,strict,True,NYC,"Nice, cozy room in 1-bed apartment in the most prestigious area of Manhattan - Park Ave. 5 min walk to Grand central, to Empire State building, 10 min walk to Times Square and many other attractions! Beautiful view around.",2016-03-20,t,f,68%,2016-03-06,f,2017-08-17,40.75035450501796,-73.98082764267082,CENTER OF MANHATTAN! NICE COZY ROOM,Murray Hill,40,88.0,https://a0.muscache.com/im/pictures/81e58dcf-1e96-45d6-a13c-23fc0d43e2c0.jpg?aki_policy=small,10016,1.0,2.0
421056,4.31748811353631,Apartment,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,Breakfast,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",2,1.0,Real Bed,strict,True,NYC,"The apartment is within walking distance to Prospect Park, the zoo, and the Botanical Garden. There are a bunch of cute coffee shops and bodegas in the neighborhood on the way to the subway. Restaurants and bars are within walking distance. You'll love staying here for the comfy bed a in room with loads of natural light and private backyard access. The open floor plan makes for a spacious common area. My place is good for couples, solo adventurers, and business travelers.",2017-01-01,t,t,67%,2014-01-06,f,2017-01-01,40.66122088824417,-73.94866662985584,"Modern Room in a Cozy, Colorful Apartment",Lefferts Garden,1,100.0,https://a0.muscache.com/im/pictures/34792262-5e46-4efd-bc9d-971c41d933a0.jpg?aki_policy=small,11225,1.0,1.0
5520582,3.828641396489095,Apartment,Private room,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""translation missing: en.hosting_amenity_50""}",2,1.0,Real Bed,strict,True,LA,"Our place is fully renovated with a nice and clean carpet in the bedroom and living room. You will have your own private bedroom and bathroom. There is one parking spot in the basement. The neighborhood is quiet and nice. Groceries stores, restaurants and The Grove mall nearby. Quite in the middle of LA: - 20 min by car to Santa Monica and Venice beach - 10 min by car to Hollywood boulevard - 20 min by car to Downtown LA Buses and subways stations closed  You will love this place. We will be here to help and guide you.",,t,f,83%,2017-03-18,f,,34.064076563038896,-118.34591018983603,Cosy private room/bathroom in Miracle Mile.,Mid-Wilshire,0,,https://a0.muscache.com/im/pictures/14bf8357-c56f-4cb8-8f98-9a76ad040dbb.jpg?aki_policy=small,90036,1.0,1.0
